pair_id,task_type,prompt_type,pooling,contrast_type,layer,cosine_distance
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,0,0.0
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,1,0.00010627508163452148
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,2,0.00024646520614624023
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,3,0.00042754411697387695
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,4,0.0008016228675842285
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,5,0.0007134675979614258
pair_001,clean_mediation,mechanistic,final_token,original_vs_confounder_removed,6,0.0006836652755737305
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,0,0.0
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,1,0.00010949373245239258
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,2,0.0002351999282836914
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,3,0.00027376413345336914
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,4,0.0006010532379150391
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,5,0.000507056713104248
pair_001,clean_mediation,mechanistic,final_token,original_vs_mediator_removed,6,0.0005098581314086914
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,0,0.0
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,1,0.00012826919555664062
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,2,0.00021857023239135742
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,3,0.00021129846572875977
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,4,0.0006890296936035156
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,5,0.0005905032157897949
pair_001,clean_mediation,mechanistic,final_token,original_vs_randomized_design,6,0.0005539059638977051
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,0,0.0
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,1,0.00028526782989501953
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,2,0.0003777742385864258
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,3,0.00032836198806762695
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,4,0.000577092170715332
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,5,0.00047516822814941406
pair_001,clean_mediation,mechanistic,final_token,original_vs_selection_bias_added,6,0.00047022104263305664
